top - 16:41:39 up  6:49,  4 users,  load average: 0,24, 0,30, 0,40
Tasks: 251 total,   1 running, 250 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7,8 us,  3,1 sy,  0,2 ni, 87,0 id,  1,8 wa,  0,1 hi,  0,0 si,  0,0 st
KiB Mem:   3994112 total,  3839280 used,   154832 free,    18248 buffers
KiB Swap:  4139004 total,   252456 used,  3886548 free.   893060 cached Mem
  446 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kvm-irqfd-clean
  518 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 hd-audio0
  562 root      20   0   15388    512    396 S   0,0  0,0   0:00.09 upstart-socket-
  713 root      20   0  316740   2748   2436 S   0,0  0,1   0:00.15 smbd
  727 root      20   0   15272    556    444 S   0,0  0,0   0:00.07 upstart-file-br
  729 message+  20   0   40428   2380    980 S   0,0  0,1   0:08.26 dbus-daemon
  731 syslog    20   0  255840   1292    888 S   0,0  0,0   0:02.00 rsyslogd
  747 root      20   0  330232   2476   2096 S   0,0  0,1   0:00.02 ModemManager
  769 root      20   0   43516   1604   1408 S   0,0  0,0   0:00.17 systemd-logind
  771 root      20   0   19288   1348   1220 S   0,0  0,0   0:00.00 bluetoothd
  778 root      10 -10       0      0      0 S   0,0  0,0   0:00.00 krfcommd
  851 avahi     20   0   32348   1320   1160 S   0,0  0,0   0:04.13 avahi-daemon
  856 avahi     20   0   32220    204    160 S   0,0  0,0   0:00.00 avahi-daemon
  860 root      20   0  345260   5352   4024 S   0,0  0,1   0:15.92 NetworkManager
  866 root      20   0  288304   3768   2856 S   0,0  0,1   0:01.55 polkitd
  875 root      20   0   30736   2296   1744 S   0,0  0,1   0:01.24 wpa_supplicant
  951 root      20   0  308644    640    492 S   0,0  0,0   0:00.00 smbd
 1001 root      20   0     188     36     20 S   0,0  0,0   0:00.43 runsvdir
 1002 root      20   0   20012    732    728 S   0,0  0,0   0:00.00 getty
 1006 root      20   0   20012    732    728 S   0,0  0,0   0:00.00 getty
 1012 root      20   0   20012    732    728 S   0,0  0,0   0:00.00 getty
 1014 root      20   0   20012    732    728 S   0,0  0,0   0:00.00 getty
 1023 root      20   0   20012    732    728 S   0,0  0,0   0:00.00 getty
 1067 root      20   0     168      4      0 S   0,0  0,0   0:00.00 runsv
 1071 root      20   0    4364    592    504 S   0,0  0,0   0:05.94 acpid
 1073 root      20   0   23652    868    744 S   0,0  0,0   0:00.04 cron
 1095 root      20   0   19184    592    492 S   0,0  0,0   0:02.59 irqbalance
 1106 kernoops  20   0   37140    756    664 S   0,0  0,0   0:00.57 kerneloops
 1108 root      20   0   75356   1668   1580 S   0,0  0,0   0:00.12 cups-browsed
 1120 root      20   0  261600   2712    284 S   0,0  0,1   3:08.95 teamviewerd
 1122 gitlog    20   0     184      0      0 S   0,0  0,0   0:00.00 svlogd
 1123 gitdaem+  20   0   14072    648    648 S   0,0  0,0   0:00.00 git-daemon
 1131 root      20   0  316740   1256    924 S   0,0  0,0   0:00.10 smbd
 1135 root      20   0  277872   3040   2468 S   0,0  0,1   0:00.07 lightdm
 1141 whoopsie  20   0  443264   3616   3052 S   0,0  0,1   0:04.99 whoopsie
 1146 nobody    20   0   35220   1228   1160 S   0,0  0,0   0:04.56 dnsmasq
 1201 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 iprt
 1212 root      20   0  287468   3460   2772 S   0,0  0,1   0:01.48 accounts-daemon
 1313 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kauditd
